Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17855756,"Dust (Silo, #3)",Hugh Howey,"Howey, Hugh",,"=""1490904387""","=""9781490904382""",0,4.25,Broad Reach Publishing,Paperback,458,2013,2013,,2019/12/31,currently-reading,currently-reading (#4),currently-reading,,,,1,0
22609485,The Soul of an Octopus,Sy Montgomery,"Montgomery, Sy",,"=""1451697716""","=""9781451697711""",0,3.92,Atria Books,Hardcover,261,2015,2015,,2020/05/19,currently-reading,currently-reading (#3),currently-reading,,,,1,0
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,"=""""","=""""",0,4.29,Disney Hyperion Books,Paperback,377,2006,2005,2023/04/26,2013/06/22,,,read,,,,1,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,4.45,Ecco,Hardcover,368,2022,2022,,2023/04/18,to-read,to-read (#165),to-read,,,,0,0
1130000,Ultimate High: My Everest Odyssey,Göran Kropp,"Kropp, Göran",David Lagercrantz,"=""156331830X""","=""9781563318306""",0,3.99,Discovery Books,Hardcover,240,1999,1997,2023/04/18,2022/11/04,,,read,,,,1,0
10567,Cell,Stephen King,"King, Stephen",,"=""1416524517""","=""9781416524519""",0,3.66,Pocket Star Books,Mass Market Paperback,449,2006,2006,2023/04/05,2023/03/20,,,read,,,,1,0
60149558,"Visual Thinking: The Hidden Gifts of People Who Think in Pictures, Patterns, and Abstractions",Temple Grandin,"Grandin, Temple",,"=""0593418360""","=""9780593418369""",0,3.67,Riverhead Books,Hardcover,352,2022,2022,,2023/03/21,to-read,to-read (#164),to-read,,,,0,0
7241373,For the Win,Cory Doctorow,"Doctorow, Cory",,"=""0765322161""","=""9780765322166""",0,3.80,Tor Teen,Hardcover,477,2010,2010,2023/03/20,2022/11/04,,,read,,,,1,0
52578860,"Humor, Seriously: Why Humor Is a Secret Weapon in Business and Life (And how anyone can harness it. Even you.)",Jennifer Aaker,"Aaker, Jennifer",Naomi Bagdonas,"=""0593135288""","=""9780593135280""",0,3.89,Currency,Hardcover,272,2021,2020,,2023/03/03,to-read,to-read (#163),to-read,,,,0,0
40605251,"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,"Bradley, Marion Zimmer",,"=""""","=""""",0,4.13,Ballantine Books,Kindle Edition,1009,2018,1982,,2023/02/10,currently-reading,currently-reading (#2),currently-reading,,,,1,0
18222694,Proof: The Science of Booze,Adam   Rogers,"Rogers, Adam",,"=""0547897960""","=""9780547897967""",0,3.92,Houghton Mifflin Harcourt,Hardcover,272,2014,2014,2023/02/10,2018/09/23,,,read,,,,1,0
35523006,The Tattooist of Auschwitz,Heather   Morris,"Morris, Heather",,"=""1760403172""","=""9781760403171""",0,4.29,Bonnier Publishing Australia,Paperback,277,2018,2018,2023/02/08,2022/12/13,,,read,,,,1,0
17704902,Five Days at Memorial: Life and Death in a Storm-Ravaged Hospital (ALA Notable Books for Adults),Sheri  Fink,"Fink, Sheri",,"=""0307718964""","=""9780307718969""",0,3.93,Crown,Hardcover,558,2013,2013,,2023/02/01,to-read,to-read (#162),to-read,,,,0,0
52339313,"Cemetery Boys (Cemetery Boys, #1)",Aiden Thomas,"Thomas, Aiden",,"=""1250250463""","=""9781250250469""",0,4.31,Swoon Reads,Hardcover,344,2020,2020,2023/02/01,2023/01/09,,,read,,,,1,0
55628986,Unwinding Anxiety: New Science Shows How to Break the Cycles of Worry and Fear to Heal Your Mind,Judson Brewer,"Brewer, Judson",,"=""0593330447""","=""9780593330449""",0,3.93,Avery,Hardcover,287,2021,2021,,2023/01/31,to-read,to-read (#161),to-read,,,,0,0
10847,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,"Krakauer, Jon",,"=""0330419129""","=""9780330419123""",0,4.00,Pan MacMillan,Paperback,400,2004,2003,2023/01/30,2022/10/31,,,read,,,,1,0
44139381,"Antisocial: Online Extremists, Techno-Utopians, and the Hijacking of the American Conversation",Andrew Marantz,"Marantz, Andrew",,"=""0525522263""","=""9780525522263""",0,4.22,Viking,Hardcover,400,2019,2019,,2023/01/30,to-read,to-read (#160),to-read,,,,0,0
36484703,Prediction Machines: The Simple Economics of Artificial Intelligence,Ajay Agrawal,"Agrawal, Ajay","Joshua Gans, Avi Goldfarb","=""""","=""""",0,3.88,Harvard Business Review Press,Kindle Edition,250,2018,,,2023/01/23,to-read,to-read (#159),to-read,,,,0,0
60479806,The Self-Talk Workout,Rachel Goldsmith Turow,"Turow, Rachel Goldsmith",,"=""""","=""9781611808483""",0,4.06,Shambhala,Paperback,240,2022,,,2023/01/16,to-read,to-read (#158),to-read,,,,0,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",0,4.19,New American Library,Mass Market Paperback,328,1950,1949,2023/01/06,2016/12/08,,,read,,,,1,0
248704,It's Kind of a Funny Story,Ned Vizzini,"Vizzini, Ned",,"=""078685197X""","=""9780786851973""",0,4.09,Disney Hyperion,Paperback,444,2007,2006,2023/01/03,2011/10/09,,,read,,,,1,0
27485,Mating in Captivity: Reconciling the Erotic and the Domestic,Esther Perel,"Perel, Esther",,"=""0060753633""","=""9780060753634""",0,4.17,Harper,Hardcover,272,2006,2006,,2022/12/30,to-read,to-read (#157),to-read,,,,0,0
